f1 secant	Absolute Error	Relative Error	f1 Secant 	f1 Secant 	f1 Bisection	Absolute Error	Relative Error	f1 Bisection	f1 Bisection	f1 Newtons	Absolute Error	Relative Error	f1 Newtons	f1 Newtons	f2 Secant	Absolute Error	Relative Error	f2 Secant	f2 Secant	f2 Bisection	Absolute Error	Relative Error	f2 Bisection	f2 Bisection	f2 Newtons	Absolute Error	Relative Error	f2 Newton	f2 Newton
2.3333	0.0972	0.043468539	0.102470519	0.088768714	3.5	1.2639	0.565225169	1.748397226	1.106797181	2.625	0.3889	0.173918877	0.359925211	0.282485681	5.2	2.9639	1.325477394	3.594837401	1.756620131	3.5	1.2639	0.565225169	1.748397226	1.106797181	2.2	0.0361	0.01614418	0.899835926	0.821583836
2.2308	0.0053	0.002370198	0.005211859	0.005213835	1.75	0.4861	0.217387416	0.874510473	0.13558978	2.2649	0.0288	0.012879567	0.028629226	0.029020955	1.6	0.6361	0.284468494	0.239692773	0.39785078	5.25	3.0139	1.347837753	0.874510473	0.61657953	1.3	0.9361	0.418630652	0.450047415	1.780172487
2.236	1E-04	4.47207E-05	0.000100527	0.000100005	2.625	0.3889	0.173918877	0.437558424	0.43531718	2.2363	0.0002	8.94414E-05	0.000200712	0.00020002	1.36	0.8761	0.39179822	0.427279342	1.212150248	6.125	3.8889	1.739144045	0.437558424	0.257401932	0.85	1.3861	0.619873888	0.225179736	0.362103412
2.2361	0	0	0	0	2.1875	0.0486	0.021734269	0.218880869	0.124564619	2.2361	0	0	0	0	0.93333	1.30277	0.582608112	0.190632301	0.346154643	6.5625	4.3264	1.934797192	0.218880869	0.119911696	0.625	1.6111	0.720495506	0.112667936	0.143911792
2.2361	0	0	#DIV/0!	0	2.4062	0.1701	0.076069943	0.109466268	0.119979564	2.2361	0	0	#DIV/0!	0	0.74286	1.49324	0.667787666	0.134382657	0.191026626	6.7812	4.5451	2.032601404	0.10956642	0.058103605	0.5125	1.7236	0.770806315	0.056373029	0.066126151
					2.2969	0.0608	0.027190197	0.054821221	0.056442765	2.2361	0	0	2.235626084	0	0.6087	1.6274	0.727784983	0.079044131	0.126242973	6.8906	4.6545	2.081525871	0.054821171	0.028613655	0.45625	1.77985	0.795961719	0.028211073	0.031854016
					2.2422	0.0061	0.002727964	0.027479737	0.015246573						0.52973	1.70637	0.763100935	0.049856409	0.059170104	6.9453	4.7092	2.105988104	0.027479737	0.014226905	0.42812	1.80798	0.808541657	0.014110297	0.015641738
					2.2148	0.0213	0.009525513	0.013749371	0.013848278						0.48	1.7561	0.785340548	0.030611733	0.035099013	6.9727	4.7366	2.118241581	0.01364901	0.007035591	0.41406	1.82204	0.81482939	0.007060043	0.007753697
					2.2285	0.0076	0.003398775	0.006929667	0.00692637						0.44948	1.78662	0.798989312	0.018976099	0.021321072	6.9863	4.7502	2.124323599	0.006929718	0.00356305	0.40703	1.82907	0.817973257	0.003527444	0.003854886
					2.2354	0.0007	0.000313045	0.003416961	0.0020007						0.43057	1.80553	0.807446	0.011716399	0.013002594	6.9932	4.7571	2.127409329	0.003416961	0.001754093	0.40352	1.83258	0.819542954	0.001769976	0.001928855
					2.2388	0.0027	0.001207459	0.00170969	0.0017023						0.4189	1.8172	0.812664908	0.00722392	0.009471347	6.9966	4.7605	2.128929833	0.00170969	0.00087665	0.40176	1.83434	0.820330039	0.000885599	0.00096341
					2.2371	0.001	0.000447207	0.000905758	0.00090045						0.41168	1.82442	0.815893744	0.004482046	0.004912025	6.9983	4.7622	2.129690085	0.000805118	0.000412448	0.40088	1.83522	0.820723581	0.000443107	0.000481451
					2.2362	0.0001	4.47207E-05	0.000402815	0.00020001						0.40722	1.82888	0.817888288	0.002774979	0.00303154	6.9991	4.763	2.130047851	0.000503578	0.000257753	0.40044	1.83566	0.820920352	0.000221707	0.000240662
					2.2358	0.0003	0.000134162	0.000201571	0.00020003						0.40446	1.83164	0.819122579	0.001710047	0.001864152	6.9996	4.7635	2.130271455	0.000201526	0.000103094	0.40022	1.83588	0.821018738	0.00011093	0.000120315
					2.236	1E-04	4.47207E-05	0.000100855	0.000100005						0.40276	1.83334	0.819882832	0.001066781	0.001161167	6.9998	4.7637	2.130360896	0.000100855	5.15457E-05	0.40011	1.83599	0.821067931	6.05494E-05	6.56222E-05
					2.2361	0	0	0.000100925	1E-04						0.4017	1.8344	0.820356871	0.000650334	0.000840338	6.9999	4.7638	2.130405617	0	0	0.40005	1.83605	0.821094763	2.01954E-05	2.18733E-05
					2.236	1E-04	4.47207E-05	0.000100925	0.000100005						0.40105	1.83505	0.820647556	0.000402946	0.000437727	6.9999	4.7638	2.130405617	#DIV/0!	5.1545E-05	0.40003	1.83607	0.821103707	2.02176E-05	2.1873E-05
					2.2361	0	0	0	0						0.40065	1.83545	0.820826439	0.000251964	0.000273514	7	4.7639	2.130450338	0	0	0.40001	1.83609	0.821112651	0	0
					2.2361	0	0	#DIV/0!	0						0.4004	1.8357	0.820938241	0.000151249	0.000164084	7	4.7639	2.130450338	#DIV/0!	0	0.40001	1.83609	0.821112651	#DIV/0!	1.09364E-05
					2.2361	0	0	#DIV/0!	0						0.40025	1.83585	0.821005322	0.000100884	0.000109379	7	4.7639	2.130450338	#DIV/0!	0	0.4	1.8361	0.821117124	0	0
					2.2361	0	0	#DIV/0!	0						0.40015	1.83595	0.821050042	6.00307E-05	7.74694E-05	7	4.7639	2.130450338	#DIV/0!	0	0.4	1.8361	0.821117124	#DIV/0!	0
					2.2361	0	0	#DIV/0!	0						0.40009	1.83601	0.821076875	3.02931E-05	3.28107E-05	7	4.7639	2.130450338	#DIV/0!	0	0.4	1.8361	0.821117124	#DIV/0!	0
					2.2361	0	0	#DIV/0!	0						0.40006	1.83604	0.821090291	2.02094E-05	2.18734E-05	7	4.7639	2.130450338	#DIV/0!	0	0.4	1.8361	0.821117124	#DIV/0!	0
